stage_id,title,order,step_id,left,top,description,en_title,en_description,de_title,de_description,es_title,es_description,ru_title,ru_description
texas_holdem_flop,First player’s actions,2,texas_holdem_flop_2,61,10,The first person to act is the first active player seated to the left of the dealer. They have two options: check or place a bet.,First player’s actions,The first person to act is the first active player seated to the left of the dealer. They have two options: check or place a bet.,Mögliche Aktionen des ersten Spielers,Die erste Person mit Spielrecht ist der erste aktive Spieler links vom Dealer. Dieser Spieler hat zwei Optionen: Schieben oder Setzen.,Las acciones del primer jugador,La primera persona en actuar es el primer participante de la mano a la izquierda del crupier. Tienen dos opciones: pasar o apostar.,Действия первого игрока,"Первым ходит первый активный игрок, сидящий слева от дилера. У него есть два варианта хода: сделать чек или ставку."
texas_holdem_flop,Check,3,texas_holdem_flop_3,78,10,"To check means to bet nothing. If the first player decides to check, the action passes, clockwise, to the next player.",Check,"To check means to bet nothing. If the first player decides to check, the action passes, clockwise, to the next player.",Schieben,"Schieben bedeutet, keinen Einsatz zu tätigen. Wenn der erste Spieler schiebt, dann geht das Spielrecht im Uhrzeigersinn an den nächsten aktiven Spieler weiter.
",Pasar,"Pasar significa no apostar nada. Si el primer jugador decide pasar, la acción pasa, en sentido de las agujas del reloj, al siguiente jugador.",Чек,"Сделать чек означает отказаться делать ставку. Если первый игрок решает сделать чек, ход переходит по часовой стрелке к следующему игроку."
texas_holdem_flop,Initial bet amount,4,texas_holdem_flop_4,91,38,"The initial bet amount should equal or exceed the minimum bet amount, which is equal to the big blind. All subsequent bets must equal or exceed that initial bet.",Initial bet amount,"The initial bet amount should equal or exceed the minimum bet amount, which is equal to the big blind. All subsequent bets must equal or exceed that initial bet.",Eröffnungseinsatz,"Der erste Einsatz muss so hoch sein wie der minimale Einsatz, der dem Big Blind entspricht, oder höher. Alle nachfolgenden Einsätze müssen genauso hoch sein wie der erste Einsatz oder diesen übertreffen.
",Monto de la apuesta inicial,"El monto de la apuesta inicial debe ser igual o exceder el monto mínimo de apuesta, que es igual al de la ciega grande. Todas las apuestas subsiguientes deben ser iguales o exceder la apuesta inicial.",Изначальная сумма ставки,"Изначальная сумма ставки должна быть равна или превышать минимальную сумму ставки, которая равна сумме большого блайнда. Все последующие ставки должны быть равны такой изначальной ставке или превышать ее."
texas_holdem_flop,Other players’ actions,5,texas_holdem_flop_5,71,90,"After the initial bet is placed, all remaining players have four options: call, raise, fold or all-in.",Other players’ actions,"After the initial bet is placed, all remaining players have four options: call, raise, fold or all-in.",Mögliche Aktionen der anderen Spieler,"Nachdem der erste Einsatz getätigt wurde, haben alle nachfolgenden Spieler vier Optionen: Mitgehen, Erhöhen, Aussteigen oder All-In gehen.",Las acciones de los otros jugadores,"Luego de que se haya realizado la apuesta inicial, todos los jugadores restantes tienen cuatro opciones: igualar, aumentar, retirarse o ir all-in.",Действия других игроков,"Как только будет сделана изначальная ставка, у всех остальных игроков будет четыре варианта хода: уравнять ставку, поднять ставку, пасовать или пойти ва-банк."
texas_holdem_flop,End of betting,6,texas_holdem_flop_6,28,10,"The betting round ends when all players, who have not folded, have bet equal amounts in the pot. If all players decide to check in the current betting round, meaning there are no new bets, the pot remains the same as in the pre-flop round. If all players, except one, decide to fold in the current round, the player who has not folded wins the pot, and the betting round ends.",End of betting,"The betting round ends when all players, who have not folded, have bet equal amounts in the pot. If all players decide to check in the current betting round, meaning there are no new bets, the pot remains the same as in the pre-flop round. If all players, except one, decide to fold in the current round, the player who has not folded wins the pot, and the betting round ends.",Ende der Setzrunde,"Die Einsatzrunde endet, wenn alle Spieler, die nicht ausgestiegen sind, gleich hohe Einsätze in den Pot eingezahlt haben. Wenn alle Spieler in der aktuellen Einsatzrunde schieben, was bedeutet, dass es keine neuen Einsätze gibt, bleibt der Pot genauso hoch wie am Ende der Pre-Flop-Runde. Wenn alle bis auf einen Spieler in der aktuellen Einsatzrunde aussteigen, dann gewinnt der Spieler, der nicht ausgestiegen ist, den Pot und die Setzrunde endet.",Final de las apuestas,"La ronda de apuestas termina cuando todos los jugadores que no se hayan retirado hayan apostado montos iguales en el pozo. Si todos los jugadores deciden pasar en la ronda de apuestas actual, es decir que no hay nuevas apuestas, el pozo permanece igual que en la ronda de pre-flop. Si todos los jugadores, excepto uno, deciden retirarse de la ronda actual, el jugador que no se haya retirado gana el pozo y termina la ronda de apuestas.",Конец торгов,"Раунд торгов завершается, когда все игроки, которые не пасовали, внесли в банк одинаковые суммы. Если все игроки решили отказаться делать ставку в текущем раунде торгов (то есть новых ставок нет), банк остается таким же, как и в раунде префлопа. Если все игроки, за исключением одного, решили пасовать в текущем раунде, игрок, который не пасовал, выигрывает банк, а раунд торгов завершается."
texas_holdem_turn,"Turn
",1,texas_holdem_turn_1,22,50,The fourth face-up community card is dealt on the table.,"Turn
",The fourth face-up community card is dealt on the table.,Turn,Die vierte Gemeinschaftskarte wird offen auf dem Pokertisch ausgelegt.,Turn,Se reparte la cuarta carta común boca arriba en la mesa.,Терн,На покерный стол в открытую сдается четвертая общая карта.
texas_holdem_turn,First player’s actions,2,texas_holdem_turn_2,61,10,"The first person to act is the first active player to the left of the dealer. They have two options: check or bet. If the first player decides to check (bets nothing), the action passes clockwise to the next player.",First player’s actions,"The first person to act is the first active player to the left of the dealer. They have two options: check or bet. If the first player decides to check (bets nothing), the action passes clockwise to the next player.",Mögliche Aktionen des ersten Spielers,"Die erste Person mit Spielrecht ist der erste aktive Spieler links vom Dealer. Dieser Spieler hat zwei Optionen: Schieben oder Setzen. Wenn sich der erste Spieler entscheidet zu schieben (d. h. keinen Einsatz zu tätigen), geht das Spielrecht im Uhrzeigersinn an den nächsten Spieler über.",Las acciones del primer jugador,"La primera persona en actuar es el primer participante de la mano a la izquierda del crupier. Tienen dos opciones: pasar o apostar. Si el primer jugador decide pasar (no apostar nada), la acción pasa en sentido horario al siguiente jugador.",Действия первого игрока,"Первым ходит первый активный игрок слева от дилера. У него есть два варианта хода: сделать чек или ставку. Если первый игрок решает сделать чек (отказаться делать ставку), ход переходит по часовой стрелке к следующему игроку."
texas_holdem_turn,Other players’ actions,3,texas_holdem_turn_3,91,53,"After the initial bet is placed, the players have the same options as in the previous rounds: call, raise, fold or go all-in.",Other players’ actions,"After the initial bet is placed, the players have the same options as in the previous rounds: call, raise, fold or go all-in.",Mögliche Aktionen der anderen Spieler,"Nachdem der erste Einsatz getätigt wurde, haben die Spieler dieselben Optionen wie in den beiden vorherigen Setzrunden: Mitgehen, Erhöhen, Aussteigen oder All-In gehen.",Las acciones de los otros jugadores,"Luego de que se haya hecho la apuesta inicial, los jugadores tienen las mismas opciones que en las rondas previas: igualar, aumentar, retirarse o ir all-in.",Действия других игроков,"Как только будет сделана изначальная ставка, у всех остальных игроков будут те же варианты хода, что и в предыдущих раундах: уравнять ставку, поднять ставку, пасовать или пойти ва-банк."
texas_holdem_turn,End of betting,4,texas_holdem_turn_4,28,10,"The betting round ends when all players, who have not folded, have placed equal amounts in the pot. If all players decide to check in the current betting round, meaning there are no new bets, the amount in the pot remains the same as after the flop betting round. If all players, except one, decide to fold in the current round, the player who has not folded wins the pot, and the betting round ends.",End of betting,"The betting round ends when all players, who have not folded, have placed equal amounts in the pot. If all players decide to check in the current betting round, meaning there are no new bets, the amount in the pot remains the same as after the flop betting round. If all players, except one, decide to fold in the current round, the player who has not folded wins the pot, and the betting round ends.",Ende der Setzrunde,"Die Einsatzrunde endet, wenn alle Spieler, die nicht ausgestiegen sind, gleich hohe Einsätze in den Pot eingezahlt haben. Wenn alle Spieler in der aktuellen Einsatzrunde schieben, was bedeutet, dass es keine neuen Einsätze gibt, bleibt der Betrag im Pot genauso hoch wie am Ende der Flop-Setzrunde. Wenn alle bis auf einen Spieler in der aktuellen Einsatzrunde aussteigen, dann gewinnt der Spieler, der nicht ausgestiegen ist, den Pot und die Setzrunde endet.",Final de las apuestas,"La ronda de apuestas termina cuando todos los jugadores que no se hayan retirado hayan apostado montos iguales en el pozo. Si todos los jugadores deciden pasar en la ronda de apuestas actual, es decir que no hay nuevas apuestas, el monto del pozo permanece igual que en la ronda de apuestas de flop. Si todos los jugadores, excepto uno, deciden retirarse de la ronda actual, el jugador que no se haya retirado gana el pozo y termina la ronda de apuestas.",Конец торгов,"Раунд торгов завершается, когда все игроки, которые не пасовали, внесли в банк одинаковые суммы. Если все игроки решили отказаться делать ставку в текущем раунде торгов (то есть новых ставок нет), сумма в банке остается такой же, как и после флоп-раунда торгов. Если все игроки, за исключением одного, решили пасовать в текущем раунде, игрок, который не пасовал, выигрывает банк, а раунд торгов завершается."
texas_holdem_river,River,1,texas_holdem_river_1,77,50,The fifth and final face-up community card is dealt on the table.,River,The fifth and final face-up community card is dealt on the table.,River,Die fünfte und letzte Gemeinschaftskarte wird offen auf dem Pokertisch ausgelegt.,River,Se reparte la quinta y última carta común boca arriba en la mesa.,Ривер,На покерный стол в открытую сдается пятая и последняя общая карта.
texas_holdem_river,First player’s actions,2,texas_holdem_river_2,61,10,"The first person to act is the first player, with two hole cards, to the left of the dealer. They have two options: check or bet. If the first player decides to check (bets nothing), the action passes clockwise to the next player.",First player’s actions,"The first person to act is the first player, with two hole cards, to the left of the dealer. They have two options: check or bet. If the first player decides to check (bets nothing), the action passes clockwise to the next player.",Mögliche Aktionen des ersten Spielers,"Die erste Person mit Spielrecht ist der erste Spieler links vom Dealer, der noch seine zwei Taschenkarten besitzt. Dieser Spieler hat zwei Optionen: Schieben oder Setzen. Wenn sich der erste Spieler entscheidet zu schieben (d. h. keinen Einsatz zu tätigen), geht das Spielrecht im Uhrzeigersinn an den nächsten Spieler über.",Las acciones del primer jugador,"La primera persona en actuar es el primer jugador, con dos “hole cards” (cartas de mano), a la izquierda del crupier. Tienen dos opciones: pasar o apostar. Si el primer jugador decide pasar (no apostar nada), la acción pasa en sentido horario al siguiente jugador.",Действия первого игрока,"Первым ходит первый активный игрок с двумя закрытыми картами, сидящий слева от фишки дилера. У него есть два варианта хода: сделать чек или ставку. Если первый игрок решает сделать чек (отказаться делать ставку), ход переходит по часовой стрелке к следующему игроку."
texas_holdem_river,Other players’ actions,3,texas_holdem_river_3,71,90,"Once an initial bet is placed, the players have the same options as in the previous rounds. 
Players can call, raise, fold or go all-in.",Other players’ actions,"Once an initial bet is placed, the players have the same options as in the previous rounds. 
Players can call, raise, fold or go all-in.",Mögliche Aktionen der anderen Spieler,"Nachdem der erste Einsatz getätigt wurde, haben die Spieler dieselben Optionen wie in den vorherigen Setzrunden. Die Spieler können mitgehen, erhöhen, aussteigen oder All-In gehen.",Las acciones de los otros jugadores,"Una vez que se haya hecho la apuesta inicial, los jugadores tienen las mismas opciones que en las rondas previas. Los jugadores pueden igualar, aumentar, retirarse o ir all-in.
",Действия других игроков,"Как только будет сделана изначальная ставка, у всех остальных игроков будут те же варианты хода, что и в предыдущих раундах. Игроки могут уравнять ставку, поднять ставку, пасовать или пойти ва-банк.
"
